transaction_id,transaction_ref,account_id,txn_type_id,amount,balance_after,transaction_date,description,channel,status
1,TXN20260701000001,1,10,85000.00,285000.50,2026-07-01 09:30:00,Salary Credit July 2026,NEFT,Completed
2,TXN20260701000002,2,6,2500.00,140000.75,2026-07-01 10:15:00,UPI Payment to Swiggy,Mobile,Completed
3,TXN20260701000003,3,1,50000.00,520000.00,2026-07-01 11:00:00,Cash Deposit,Branch,Completed
4,TXN20260701000004,4,8,10000.00,68500.25,2026-07-01 11:45:00,ATM Withdrawal,ATM,Completed
5,TXN20260701000005,5,3,25000.00,290000.00,2026-07-01 12:30:00,NEFT to ABC Ltd,Net Banking,Completed
6,TXN20260701000006,6,6,1500.00,43700.50,2026-07-01 13:15:00,UPI Payment to Amazon,Mobile,Completed
7,TXN20260701000007,7,2,30000.00,650000.00,2026-07-01 14:00:00,Cash Withdrawal,Branch,Completed
8,TXN20260701000008,8,5,5000.00,23750.00,2026-07-01 14:45:00,IMPS Transfer to Friend,Mobile,Completed
9,TXN20260701000009,9,9,31250.00,1281250.00,2026-07-01 15:30:00,Quarterly Interest Credit,System,Completed
10,TXN20260701000010,10,6,3500.00,91500.00,2026-07-01 16:15:00,UPI Payment to Flipkart,Mobile,Completed
11,TXN20260702000001,11,10,65000.00,240000.50,2026-07-02 09:30:00,Salary Credit July 2026,NEFT,Completed
12,TXN20260702000002,12,8,5000.00,57000.00,2026-07-02 10:15:00,ATM Withdrawal,ATM,Completed
13,TXN20260702000003,13,4,100000.00,2000000.00,2026-07-02 11:00:00,RTGS to Property Dealer,Net Banking,Completed
14,TXN20260702000004,14,6,2200.00,122800.00,2026-07-02 11:45:00,UPI Payment to Zomato,Mobile,Completed
15,TXN20260702000005,15,1,20000.00,55000.00,2026-07-02 12:30:00,Cash Deposit,Branch,Completed
16,TXN20260702000006,16,6,800.00,21700.00,2026-07-02 13:15:00,UPI Payment to Paytm,Mobile,Completed
17,TXN20260702000007,17,3,35000.00,415000.00,2026-07-02 14:00:00,NEFT to Supplier,Net Banking,Completed
18,TXN20260702000008,18,8,2000.00,16000.00,2026-07-02 14:45:00,ATM Withdrawal,ATM,Completed
19,TXN20260702000009,19,10,72000.00,352000.00,2026-07-02 15:30:00,Salary Credit July 2026,NEFT,Completed
20,TXN20260702000010,20,6,1800.00,70200.00,2026-07-02 16:15:00,UPI Payment to BigBasket,Mobile,Completed
21,TXN20260703000001,21,9,46250.00,1896250.00,2026-07-03 09:30:00,Quarterly Interest Credit,System,Completed
22,TXN20260703000002,22,6,500.00,14500.00,2026-07-03 10:15:00,UPI Payment to Uber,Mobile,Completed
23,TXN20260703000003,23,1,30000.00,225000.00,2026-07-03 11:00:00,Cash Deposit,Branch,Completed
24,TXN20260703000004,24,8,8000.00,80000.00,2026-07-03 11:45:00,ATM Withdrawal,ATM,Completed
25,TXN20260703000005,25,3,45000.00,515000.00,2026-07-03 12:30:00,NEFT to School Fees,Net Banking,Completed
26,TXN20260703000006,26,6,2800.00,132200.00,2026-07-03 13:15:00,UPI Payment to DMart,Mobile,Completed
27,TXN20260703000007,27,10,55000.00,153000.00,2026-07-03 14:00:00,Salary Credit July 2026,NEFT,Completed
28,TXN20260703000008,28,2,15000.00,195000.00,2026-07-03 14:45:00,Cash Withdrawal,Branch,Completed
29,TXN20260703000009,29,6,1200.00,50800.00,2026-07-03 15:30:00,UPI Payment to Ola,Mobile,Completed
30,TXN20260703000010,30,8,5000.00,33000.00,2026-07-03 16:15:00,ATM Withdrawal,ATM,Completed
31,TXN20260704000001,31,1,75000.00,560000.00,2026-07-04 09:30:00,Cash Deposit,Branch,Completed
32,TXN20260704000002,32,6,1500.00,23500.00,2026-07-04 10:15:00,UPI Payment to Myntra,Mobile,Completed
33,TXN20260704000003,33,3,20000.00,148000.00,2026-07-04 11:00:00,NEFT to Insurance Premium,Net Banking,Completed
34,TXN20260704000004,34,9,80000.00,3280000.00,2026-07-04 11:45:00,Quarterly Interest Credit,System,Completed
35,TXN20260704000005,35,8,4000.00,38000.00,2026-07-04 12:30:00,ATM Withdrawal,ATM,Completed
36,TXN20260704000006,36,10,48000.00,163000.00,2026-07-04 13:15:00,Salary Credit July 2026,NEFT,Completed
37,TXN20260704000007,37,6,3500.00,271500.00,2026-07-04 14:00:00,UPI Payment to Reliance Fresh,Mobile,Completed
38,TXN20260704000008,38,5,8000.00,60000.00,2026-07-04 14:45:00,IMPS to Relative,Mobile,Completed
39,TXN20260704000009,39,1,40000.00,225000.00,2026-07-04 15:30:00,Cash Deposit,Branch,Completed
40,TXN20260704000010,40,8,3000.00,29000.00,2026-07-04 16:15:00,ATM Withdrawal,ATM,Completed
41,TXN20260705000001,41,3,55000.00,370000.00,2026-07-05 09:30:00,NEFT to Contractor,Net Banking,Completed
42,TXN20260705000002,42,6,2000.00,17500.00,2026-07-05 10:15:00,UPI Payment to Pharmacy,Mobile,Completed
