policy_id,policy_number,customer_id,product_id,premium_amount,coverage_amount,start_date,end_date,status
1,SBIL0000000001,1,1,25000.00,20000000.00,2022-05-15,2047-05-15,Active
2,SBIL0000000002,3,2,50000.00,5000000.00,2021-08-20,2036-08-20,Active
3,SBIL0000000003,5,6,18000.00,3000000.00,2023-03-10,2024-03-10,Active
4,SBIL0000000004,7,1,35000.00,30000000.00,2020-11-05,2045-11-05,Active
5,SBIL0000000005,9,3,75000.00,5000000.00,2019-06-22,2039-06-22,Active
6,SBIL0000000006,11,5,28000.00,3000000.00,2024-01-08,2039-01-08,Active
7,SBIL0000000007,13,1,45000.00,40000000.00,2018-04-15,2043-04-15,Active
8,SBIL0000000008,15,6,12000.00,1000000.00,2023-09-28,2024-09-28,Active
9,SBIL0000000009,17,7,22000.00,5000000.00,2021-12-12,2022-12-12,Active
10,SBIL0000000010,19,1,30000.00,25000000.00,2022-07-25,2047-07-25,Active
11,SBIL0000000011,21,3,60000.00,4000000.00,2020-02-18,2040-02-18,Active
12,SBIL0000000012,23,8,8500.00,800000.00,2023-05-05,2024-05-05,Active
13,SBIL0000000013,25,1,28000.00,22000000.00,2021-10-30,2046-10-30,Active
14,SBIL0000000014,27,6,15000.00,2000000.00,2024-03-22,2025-03-22,Active
15,SBIL0000000015,29,8,6500.00,500000.00,2023-08-15,2024-08-15,Active
16,SBIL0000000016,31,1,42000.00,35000000.00,2021-01-10,2046-01-10,Active
17,SBIL0000000017,33,2,65000.00,7000000.00,2022-06-28,2037-06-28,Active
18,SBIL0000000018,35,10,2500.00,500000.00,2024-09-05,2024-09-20,Active
19,SBIL0000000019,37,1,32000.00,28000000.00,2021-04-18,2046-04-18,Active
20,SBIL0000000020,39,7,25000.00,8000000.00,2023-11-25,2024-11-25,Active
21,SBIL0000000021,41,1,38000.00,32000000.00,2020-08-08,2045-08-08,Active
22,SBIL0000000022,43,3,85000.00,5000000.00,2019-03-15,2039-03-15,Active
23,SBIL0000000023,45,6,20000.00,4000000.00,2022-10-22,2023-10-22,Active
24,SBIL0000000024,47,8,7200.00,600000.00,2024-05-12,2025-05-12,Active
25,SBIL0000000025,49,1,48000.00,42000000.00,2021-12-30,2046-12-30,Active
26,SBIL0000000026,51,5,35000.00,4000000.00,2022-02-20,2037-02-20,Active
27,SBIL0000000027,53,6,16000.00,2500000.00,2023-07-08,2024-07-08,Active
28,SBIL0000000028,55,1,55000.00,48000000.00,2020-04-28,2045-04-28,Active
29,SBIL0000000029,57,8,5800.00,450000.00,2024-01-15,2025-01-15,Active
30,SBIL0000000030,59,7,28000.00,10000000.00,2023-06-25,2024-06-25,Active
31,SBIL0000000031,61,1,62000.00,50000000.00,2018-09-10,2043-09-10,Active
32,SBIL0000000032,63,2,72000.00,8000000.00,2022-03-18,2037-03-18,Active
33,SBIL0000000033,65,6,14000.00,1800000.00,2023-10-05,2024-10-05,Active
34,SBIL0000000034,67,8,8000.00,700000.00,2024-07-22,2025-07-22,Active
35,SBIL0000000035,69,1,36000.00,30000000.00,2021-05-30,2046-05-30,Active
36,SBIL0000000036,71,3,70000.00,4500000.00,2020-12-12,2040-12-12,Active
37,SBIL0000000037,73,6,11000.00,1200000.00,2024-02-28,2025-02-28,Active
38,SBIL0000000038,75,1,40000.00,35000000.00,2021-08-08,2046-08-08,Active
